"query","search interest","increase percent"
"rossmann proteinpulver",2,"Breakout"
"proteinpulver von weider",2,"Breakout"
"weider protein 80 plus",0,"Breakout"
"markus rühl protein",4,"300 %"
"bodylab24",4,"130 %"
"hsn whey",9,"120 %"
"ironmaxx",6,"110 %"
"koro",2,"110 %"
"hsn protein",8,"100 %"
"hsn",9,"90 %"
"whey protein 5kg",3,"80 %"
"markus rühl",3,"70 %"
"my protein clear whey",2,"70 %"
"hsn whey protein",8,"70 %"
"all stars whey protein",7,"70 %"
"whey protein 1kg",7,"70 %"
"whey protein angebote",4,"70 %"
"dm sportness whey protein",4,"60 %"
"pbn whey protein",2,"60 %"
"esn proteinpulver",8,"60 %"
"chunky flavour",1,"60 %"
"bulk pure whey protein",5,"60 %"
"weider protein",6,"50 %"
"creatine monohydrate",3,"50 %"
"whey protein test stiftung warentest",3,"50 %"
"esn clear whey",5,"50 %"
"whey protein was ist das",6,"50 %"
"foodspring whey protein",7,"40 %"
"weider whey protein",6,"40 %"
"esn isoclear",8,"40 %"
"whey protein pulver test",4,"40 %"
"sportness whey protein",7,"40 %"
"rühl protein",7,"40 %"
"esn designer whey",23,"40 %"
"body attack",11,"30 %"
"prozis",4,"30 %"
"whey protein vanille",17,"30 %"
"mammut whey protein",15,"30 %"
"ironmaxx protein",6,"30 %"
"grass fed whey protein",4,"30 %"
"bodylab",14,"30 %"
"ironmaxx whey protein",6,"30 %"
"bestes whey protein",11,"30 %"
"designer whey protein esn",22,"30 %"
"isoclear",16,"30 %"
"esn designer whey protein",21,"30 %"
"whey protein esn",100,"30 %"
"designer whey protein",29,"30 %"
"more whey protein",22,"30 %"
"orgainic whey protein",4,"30 %"
