"query","search interest","increase percent"
"esn whey",100,"30 %"
"whey protein esn",100,"30 %"
"esn whey protein",100,"30 %"
"esn",98,"20 %"
"esn protein",97,"20 %"
"whey protein isolate",97,"10 %"
"whey isolate",96,"10 %"
"whey isolate protein",94,"10 %"
"isolate whey protein",92,"10 %"
"whey protein pulver",68,"20 %"
"protein pulver whey",66,"20 %"
"best whey protein",66,"-20 %"
"protein pulver",65,"20 %"
"protein powder",50,"-3 %"
"whey protein powder",50,"-2 %"
"clear protein",32,"20 %"
"clear whey",29,"8 %"
"whey protein test",29,"-10 %"
"proteinpulver",29,"10 %"
"whey clear protein",29,"6 %"
"clear whey protein",29,"7 %"
"designer whey protein",29,"30 %"
"whey protein myprotein",27,"20 %"
"gold whey protein",27,"-1 %"
"whey protein dm",27,"20 %"
"myprotein",27,"20 %"
"myprotein whey protein",27,"20 %"
"dm whey protein",27,"10 %"
"on whey protein",25,"-30 %"
"more",23,"30 %"
"esn designer whey",23,"40 %"
"more whey protein",22,"30 %"
"designer whey protein esn",22,"30 %"
"more protein",22,"10 %"
"esn designer whey protein",21,"30 %"
"impact whey protein",20,"3 %"
"whey isolat",20,"7 %"
"whey isolat protein",20,"4 %"
"was ist whey protein",20,"-7 %"
"whey protein isolat",19,"2 %"
"whey protein optimum nutrition",19,"-5 %"
"optimum nutrition",19,"-7 %"
"optimum nutrition whey protein",18,"-10 %"
"vanille whey protein",18,"20 %"
"100 whey protein",17,"5 %"
"bulk",17,"20 %"
"whey protein vanille",17,"30 %"
"protein shake",17,"7 %"
"my protein",17,"20 %"
"bio whey protein",17,"-4 %"
