"query","search interest","increase percent"
"kollagen pulver",100,"-4 %"
"collagen",26,"-10 %"
"dm",25,"1 %"
"kollagen dm",24,"0 %"
"glow",24,"8 %"
"dm kollagen",24,"-1 %"
"glow kollagen",23,"2 %"
"kollagen glow",23,"3 %"
"kollagen peptide",19,"-10 %"
"was ist kollagen",19,"-10 %"
"kollagen doppelherz",18,"40 %"
"doppelherz kollagen",17,"30 %"
"glow25 kollagen",17,"-20 %"
"glow25",17,"-20 %"
"puresgp kollagen",16,"-10 %"
"puresgp",16,"-10 %"
"kollagen test",15,"-7 %"
"kollagen kapseln",14,"-10 %"
"kollagen wirkung",13,"-8 %"
"kollagen einnehmen",12,"-10 %"
"glow 25 kollagen",12,"7 %"
"glow 25",12,"8 %"
"kollagen glow 25",12,"5 %"
"puresgp kollagen peptide",11,"-20 %"
"dm kollagen pulver",11,"-5 %"
"kollagen pulver glow",11,"10 %"
"kollagen pulver dm",11,"-6 %"
"glow kollagen pulver",10,"10 %"
"hyaluron",10,"-2 %"
"glow25 kollagen pulver",10,"-7 %"
"kollagen typ 2",10,"-5 %"
"rossmann kollagen",9,"-10 %"
"kollagen rossmann",9,"-10 %"
"kollagen apotheke",9,"-6 %"
"kollagen testsieger",9,"1 %"
"vitamin c",9,"-4 %"
"kollagenpulver",8,"-10 %"
"collagen pulver",8,"-4 %"
"kollagen pulver test",8,"1 %"
"sheko kollagen",7,"3 %"
"sheko",7,"2 %"
"olivenöl kollagen",6,"600 %"
"kollagen wofür",6,"-10 %"
"glow 25 kollagen pulver",6,"30 %"
"kollagen typ 1",6,"-10 %"
"kollagen sunday natural",5,"-7 %"
"kollagen was ist das",5,"3 %"
"kollagen nebenwirkungen",5,"-9 %"
"sunday natural kollagen",5,"-8 %"
"sunday natural",5,"-20 %"
