"query","search interest","increase percent"
"kreatin wirkung",100,"30 %"
"wirkung kreatin",96,"20 %"
"creatin",84,"1 %"
"esn kreatin",82,"-10 %"
"kreatin esn",82,"-9 %"
"kreatin monohydrat",81,"7 %"
"esn",80,"-10 %"
"dm",66,"30 %"
"dm kreatin",65,"30 %"
"kreatin dm",65,"30 %"
"taurin",53,"80 %"
"was ist kreatin",53,"-7 %"
"vaya",48,"250 %"
"kreatin pulver",48,"-6 %"
"vaya kreatin",47,"250 %"
"kreatin frauen",46,"40 %"
"kreatin einnehmen",42,"-4 %"
"protein",36,"-30 %"
"kreatin kapseln",33,"-1 %"
"kreatin creapure",33,"-10 %"
"creapure",32,"-10 %"
"creapure kreatin",32,"-10 %"
"kreatin nebenwirkungen",32,"-8 %"
"nebenwirkungen kreatin",29,"-10 %"
"keratin",29,"6 %"
"kreatin kaufen",29,"-2 %"
"kreatin und taurin",28,"80 %"
"kreatin für frauen",26,"170 %"
"kreatin rossmann",22,"3 %"
"rossmann kreatin",22,"5 %"
"kreatinin",20,"-10 %"
"kreatin wofür",18,"-10 %"
"creatine",18,"-30 %"
"wofür kreatin",18,"-20 %"
"kreatin test",17,"-30 %"
"kollagen",16,"40 %"
"wann kreatin einnehmen",14,"-5 %"
"kreatin wert",14,"-40 %"
"magnesium",14,"1 %"
"kreatin wann einnehmen",14,"-8 %"
"wie viel kreatin pro tag",14,"-20 %"
"creatin monohydrat",12,"10 %"
"sunday natural kreatin",12,"20 %"
"more kreatin",12,"6 %"
"kreatin was ist das",12,"30 %"
"kreatin muskelaufbau",11,"-40 %"
"kreatin abnehmen",11,"-10 %"
"sunday natural",11,"10 %"
"kreatin testsieger",10,"30 %"
"was macht kreatin",10,"-40 %"
