"query","search interest","increase percent"
"omega 3 kapseln",100,"20 %"
"norsan",65,"9 %"
"omega 3 norsan",64,"8 %"
"norsan omega 3",63,"7 %"
"omega 3 fettsäuren",45,"-5 %"
"dha",43,"2 %"
"omega 3 dha",43,"2 %"
"dha omega 3",43,"2 %"
"epa omega 3",42,"10 %"
"epa",42,"10 %"
"omega 3 öl",42,"-3 %"
"omega 3 vegan",41,"8 %"
"algenöl omega 3",36,"20 %"
"omega 3 kinder",36,"0 %"
"algenöl",35,"10 %"
"omega 3 algenöl",35,"10 %"
"magnesium",30,"5 %"
"vitamin d",24,"-7 %"
"sunday omega 3",23,"20 %"
"omega 3 dm",22,"9 %"
"dm omega 3",22,"7 %"
"omega 3 test",22,"-8 %"
"für was omega 3",19,"9 %"
"omega 3 supplement",18,"4 %"
"omega 3 norsan vegan",18,"10 %"
"sunday natural",18,"10 %"
"norsan omega 3 vegan",18,"8 %"
"sunday natural omega 3",18,"10 %"
"omega 3 vegan norsan",18,"5 %"
"omega 3 sunday natural",18,"10 %"
"doppelherz omega 3",18,"2 %"
"omega 3 doppelherz",17,"1 %"
"omega 3 fischöl",17,"-1 %"
"fischöl omega 3",17,"1 %"
"omega 3 esn",15,"-6 %"
"esn omega 3",15,"-5 %"
"omega 3 supplements",15,"-10 %"
"esn",15,"-8 %"
"vitamoment",14,"7 %"
"vitamoment omega 3",14,"5 %"
"omega 3 vitamoment",14,"1 %"
"omega 3 wofür",14,"3 %"
"wofür omega 3",14,"5 %"
"omega 3 lebensmittel",13,"-10 %"
"omega 3 fish oil",13,"30 %"
"omega 3 leinöl",13,"-9 %"
"omega 3 wirkung",12,"-1 %"
"omega 3 kaufen",12,"-10 %"
"vitamin d3",12,"-2 %"
"leinöl omega 3",12,"-9 %"
