"query","search interest","increase percent"
"vitamin d mangel",100,"20 %"
"magnesium",45,"10 %"
"k2 vitamin",44,"1 %"
"vitamin k2",44,"1 %"
"vitamin d k2",43,"-1 %"
"vitamin d3",42,"5 %"
"vitamin symptome",40,"2 %"
"vitamin d tabletten",32,"10 %"
"vitamin d tropfen",32,"10 %"
"vitamin d wert",31,"2 %"
"vitamin b12",30,"20 %"
"was ist vitamin d",28,"20 %"
"vitamin d mangel symptome",28,"1 %"
"symptome vitamin d mangel",27,"-3 %"
"vitamin d calcium",25,"20 %"
"vitamin d test",24,"-10 %"
"omega 3",21,"10 %"
"vitamin d baby",21,"20 %"
"vitamin d apotheke",21,"-5 %"
"vitamin d 20000",19,"9 %"
"vitamin d kinder",19,"-1 %"
"zu viel vitamin d",18,"20 %"
"vitamin d 1000",17,"8 %"
"vitamin d 2000",16,"-6 %"
"vitamin d einnahme",16,"4 %"
"einnahme vitamin d",16,"4 %"
"vitamin d dm",15,"7 %"
"dm vitamin d",15,"6 %"
"vitamin d und magnesium",15,"-2 %"
"vitamin d3 k2",14,"3 %"
"sonne vitamin d",13,"-3 %"
"überdosierung vitamin d",13,"-2 %"
"vitamin d überdosierung",13,"-4 %"
"vitamin d sonne",13,"-8 %"
"vitamin d mit k2",12,"10 %"
"dekristol vitamin d",12,"7 %"
"dekristol",12,"4 %"
"vitamin d dekristol",12,"3 %"
"vitamin d spiegel",12,"5 %"
"vitamin d 4000",12,"20 %"
"vitamin d und k2",11,"-4 %"
"lebensmittel vitamin d",11,"8 %"
"vitamin d lebensmittel",11,"4 %"
"vitamin d kaufen",10,"-3 %"
"sunday vitamin d",10,"20 %"
"vitamin d kapseln",10,"10 %"
"vitamin d rechner",8,"0 %"
"vitamin d öl",8,"10 %"
"vitamin d wann einnehmen",8,"8 %"
"vitamin d dosierung",8,"-5 %"
